KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
572560,BanÌn,264,157,157,7 %,"4,45 %",0 %,"0,00 %",0 %,"0,00 %",12 %,"7,64 %",0 %,"0,00 %",5 %,"3,18 %",23 %,"14,64 %",1 %,"0,63 %",3 %,"1,91 %",3 %,"1,91 %",0 %,"0,00 %",1 %,"0,63 %"
572586,BÏl· nad Svitavou,413,238,237,16 %,"6,75 %",0 %,"0,00 %",0 %,"0,00 %",24 %,"10,12 %",2 %,"0,84 %",9 %,"3,79 %",20 %,"8,43 %",3 %,"1,26 %",1 %,"0,42 %",2 %,"0,84 %",0 %,"0,00 %",1 %,"0,42 %"
505391,BÏl· u JevÌËka,310,203,203,8 %,"3,94 %",7 %,"3,44 %",0 %,"0,00 %",24 %,"11,82 %",0 %,"0,00 %",8 %,"3,94 %",34 %,"16,74 %",1 %,"0,49 %",1 %,"0,49 %",1 %,"0,49 %",0 %,"0,00 %",0 %,"0,00 %"
577774,Ben·tky,286,204,200,28 %,"14,00 %",0 %,"0,00 %",3 %,"1,50 %",24 %,"12,00 %",0 %,"0,00 %",8 %,"4,00 %",5 %,"2,50 %",0 %,"0,00 %",5 %,"2,50 %",6 %,"3,00 %",0 %,"0,00 %",1 %,"0,50 %"
574309,BezdÏËÌ u Trn·vky,177,120,119,6 %,"5,04 %",0 %,"0,00 %",0 %,"0,00 %",10 %,"8,40 %",1 %,"0,84 %",6 %,"5,04 %",8 %,"6,72 %",0 %,"0,00 %",4 %,"3,36 %",1 %,"0,84 %",1 %,"0,84 %",0 %,"0,00 %"
572519,Biskupice,370,224,224,13 %,"5,80 %",0 %,"0,00 %",0 %,"0,00 %",26 %,"11,60 %",0 %,"0,00 %",31 %,"13,83 %",40 %,"17,85 %",2 %,"0,89 %",2 %,"0,89 %",1 %,"0,44 %",1 %,"0,44 %",0 %,"0,00 %"
577812,BohuÚov,134,101,100,6 %,"6,00 %",0 %,"0,00 %",0 %,"0,00 %",6 %,"6,00 %",0 %,"0,00 %",3 %,"3,00 %",9 %,"9,00 %",0 %,"0,00 %",0 %,"0,00 %",2 %,"2,00 %",0 %,"0,00 %",0 %,"0,00 %"
577821,BohuÚovice,93,52,52,3 %,"5,76 %",0 %,"0,00 %",0 %,"0,00 %",5 %,"9,61 %",2 %,"3,84 %",1 %,"1,92 %",1 %,"1,92 %",0 %,"0,00 %",5 %,"9,61 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
577839,Borov·,804,544,542,67 %,"12,36 %",15 %,"2,76 %",0 %,"0,00 %",48 %,"8,85 %",1 %,"0,18 %",27 %,"4,98 %",50 %,"9,22 %",7 %,"1,29 %",1 %,"0,18 %",12 %,"2,21 %",0 %,"0,00 %",2 %,"0,36 %"
572632,Boruöov,147,84,84,5 %,"5,95 %",2 %,"2,38 %",0 %,"0,00 %",5 %,"5,95 %",0 %,"0,00 %",5 %,"5,95 %",24 %,"28,57 %",1 %,"1,19 %",1 %,"1,19 %",0 %,"0,00 %",0 %,"0,00 %",0 %,"0,00 %"
